what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307624343133
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624343133
java.vm.specification.version,sysinfo,,,"1.0",1307624343133
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624343133
java.vm.version,sysinfo,,,"19.0-b09",1307624343133
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307624343166
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1307624343182
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1307624343252
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1307624343329
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1307624343342
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1307624343761
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1307624344783
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1307624345964
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1307624346469
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1307624346813
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1307624346844
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1307624346859
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1307624346859
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1307624346872
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1307624346921
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1307624346921
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1307624346923
